UNIQUE_id,GEO_rural_urban,LONELINESS_chronic_loneliness,DEMO_age
cscs_00001,,,71.0
cscs_00002,"Large urban centre (100,000+ people)",,69.0
cscs_00003,"Medium city/town (30,000-99,999 people)",,56.0
cscs_00005,"Large urban centre (100,000+ people)",,54.0
cscs_00006,,,30.0
cscs_00007,,No,55.0
cscs_00008,"Small city/town (1,000-29,999 people)",,50.0
cscs_00009,,Yes,52.0
cscs_00010,,,66.0
cscs_00011,,,76.0
cscs_00012,,,27.0
cscs_00013,"Small city/town (1,000-29,999 people)",,49.0
cscs_00014,,,57.0
cscs_00015,,,48.0
cscs_00016,,,57.0
cscs_00017,,,54.0
cscs_00018,,,74.0
cscs_00019,,,38.0
cscs_00020,,,50.0
cscs_00021,,,73.0
cscs_00022,,,59.0
cscs_00023,"Large urban centre (100,000+ people)",,44.0
cscs_00024,,,42.0
cscs_00025,,,63.0
cscs_00027,"Large urban centre (100,000+ people)",,67.0
cscs_00028,"Large urban centre (100,000+ people)",,71.0
cscs_00029,,,50.0
cscs_00031,,,32.0
cscs_00032,,,51.0
cscs_00033,Rural area (Less than 1000 people),,67.0
cscs_00034,,,63.0
cscs_00035,"Large urban centre (100,000+ people)",,29.0
cscs_00036,"Large urban centre (100,000+ people)",,46.0
cscs_00038,,,28.0
cscs_00039,"Small city/town (1,000-29,999 people)",,68.0
cscs_00040,,,30.0
cscs_00041,,,50.0
cscs_00043,,,23.0
cscs_00045,,,56.0
cscs_00047,,,27.0
cscs_00048,,,39.0
cscs_00049,,,26.0
cscs_00051,"Small city/town (1,000-29,999 people)",,73.0
cscs_00052,,,56.0
cscs_00053,,,77.0
cscs_00054,,,75.0
cscs_00055,,,25.0
cscs_00056,"Large urban centre (100,000+ people)",,52.0
cscs_00057,Rural area (Less than 1000 people),,60.0
cscs_00058,,,70.0
cscs_00059,,,48.0
cscs_00060,,,31.0
cscs_00061,,Yes,28.0
cscs_00062,,,31.0
cscs_00063,,,85.0
cscs_00064,,,52.0
cscs_00065,,,52.0
cscs_00066,,Yes,55.0
cscs_00067,,,48.0
cscs_00068,,,36.0
cscs_00069,,,35.0
cscs_00070,"Large urban centre (100,000+ people)",,44.0
cscs_00071,,,24.0
cscs_00072,,Yes,63.0
cscs_00073,,,36.0
cscs_00075,"Large urban centre (100,000+ people)",,69.0
cscs_00077,,,32.0
cscs_00078,"Large urban centre (100,000+ people)",,60.0
cscs_00079,,,32.0
cscs_00080,,,68.0
cscs_00081,,,63.0
cscs_00082,,,31.0
cscs_00083,,,36.0
cscs_00084,,,25.0
cscs_00085,,,29.0
cscs_00086,,,44.0
cscs_00087,"Medium city/town (30,000-99,999 people)",,66.0
cscs_00088,,,27.0
cscs_00089,,,63.0
cscs_00090,,Yes,61.0
cscs_00091,,,24.0
cscs_00092,,,81.0
cscs_00093,"Large urban centre (100,000+ people)",,85.0
cscs_00094,"Small city/town (1,000-29,999 people)",,62.0
cscs_00095,"Small city/town (1,000-29,999 people)",,75.0
cscs_00096,,,33.0
cscs_00097,Rural area (Less than 1000 people),,72.0
cscs_00098,,,39.0
cscs_00099,,No,36.0
cscs_00101,,,55.0
cscs_00103,"Medium city/town (30,000-99,999 people)",,23.0
cscs_00104,,,19.0
cscs_00105,"Large urban centre (100,000+ people)",,76.0
